@relation iris-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-weka.filters.unsupervised.attribute.Standardize

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.893499,1.027956,-1.423301,-1.444929,Iris-setosa
-1.176845,-0.055009,-1.423301,-1.444929,Iris-setosa
-1.472,0.398398,-1.549015,-1.444929,Iris-setosa
-1.624323,0.175352,-1.306263,-1.444929,Iris-setosa
-1.033755,1.225867,-1.423301,-1.444929,Iris-setosa
-0.488663,1.788196,-1.09394,-0.745765,Iris-setosa
-1.624323,0.824308,-1.423301,-1.035944,Iris-setosa
-1.033755,0.824308,-1.306263,-1.444929,Iris-setosa
-1.939161,-0.293179,-1.423301,-1.444929,Iris-setosa
-1.176845,0.175352,-1.306263,-2.144093,Iris-setosa
-0.488663,1.418355,-1.306263,-1.444929,Iris-setosa
-1.322885,0.824308,-1.196782,-1.444929,Iris-setosa
-1.322885,-0.055009,-1.423301,-2.144093,Iris-setosa
-2.101989,-0.055009,-1.832401,-2.144093,Iris-setosa
0.017459,1.966063,-1.684798,-1.444929,Iris-setosa
-0.105721,2.635652,-1.306263,-0.745765,Iris-setosa
-0.488663,1.788196,-1.549015,-0.745765,Iris-setosa
-0.893499,1.027956,-1.423301,-1.035944,Iris-setosa
-0.105721,1.605709,-1.09394,-1.035944,Iris-setosa
-0.893499,1.605709,-1.306263,-1.035944,Iris-setosa
-0.488663,0.824308,-1.09394,-1.444929,Iris-setosa
-0.893499,1.418355,-1.306263,-0.745765,Iris-setosa
-1.624323,1.225867,-1.994083,-1.444929,Iris-setosa
-0.893499,0.61458,-1.09394,-0.520685,Iris-setosa
-1.322885,0.824308,-0.90526,-1.444929,Iris-setosa
-1.033755,-0.055009,-1.196782,-1.444929,Iris-setosa
-1.033755,0.824308,-1.196782,-0.745765,Iris-setosa
-0.755967,1.027956,-1.306263,-1.444929,Iris-setosa
-0.755967,0.824308,-1.423301,-1.444929,Iris-setosa
-1.472,0.398398,-1.196782,-1.444929,Iris-setosa
-1.322885,0.175352,-1.196782,-1.444929,Iris-setosa
-0.488663,0.824308,-1.306263,-0.745765,Iris-setosa
-0.755967,2.139537,-1.306263,-2.144093,Iris-setosa
-0.358702,2.308832,-1.423301,-1.444929,Iris-setosa
-1.176845,0.175352,-1.306263,-2.144093,Iris-setosa
-1.033755,0.398398,-1.684798,-1.444929,Iris-setosa
-0.358702,1.027956,-1.549015,-1.444929,Iris-setosa
-1.176845,0.175352,-1.306263,-2.144093,Iris-setosa
-1.939161,-0.055009,-1.549015,-1.444929,Iris-setosa
-0.893499,0.824308,-1.306263,-1.444929,Iris-setosa
-1.033755,1.027956,-1.549015,-1.035944,Iris-setosa
-1.779993,-1.92167,-1.549015,-1.035944,Iris-setosa
-1.939161,0.398398,-1.549015,-1.444929,Iris-setosa
-1.033755,1.027956,-1.196782,-0.33678,Iris-setosa
-0.893499,1.605709,-0.90526,-0.745765,Iris-setosa
-1.322885,-0.055009,-1.423301,-1.035944,Iris-setosa
-0.893499,1.605709,-1.196782,-1.444929,Iris-setosa
-1.624323,0.398398,-1.423301,-1.444929,Iris-setosa
-0.621054,1.418355,-1.306263,-1.444929,Iris-setosa
-1.033755,0.61458,-1.423301,-1.444929,Iris-setosa
1.349377,0.398398,0.63116,0.517873,Iris-versicolor
0.714681,0.398398,0.557393,0.587464,Iris-versicolor
1.247466,0.175352,0.701852,0.587464,Iris-versicolor
-0.358702,-1.92167,0.357589,0.443121,Iris-versicolor
0.824492,-0.539709,0.594677,0.587464,Iris-versicolor
-0.105721,-0.539709,0.557393,0.443121,Iris-versicolor
0.60314,0.61458,0.63116,0.652563,Iris-versicolor
-1.176845,-1.622673,0.031254,0.17848,Iris-versicolor
