id,cuisine
18009,british
28583,british
41580,irish
29752,cajun_creole
35687,british
38527,british
19666,irish
41217,chinese
28753,mexican
22659,british
21749,italian
44967,greek
42969,indian
44883,italian
20827,korean
23196,irish
35387,british
33780,russian
19001,mexican
16526,irish
42455,korean
47453,korean
42478,irish
11885,korean
16585,british
29639,moroccan
26245,vietnamese
38516,japanese
47520,greek
26212,vietnamese
23696,vietnamese
14926,vietnamese
13292,korean
27346,korean
1384,korean
15959,mexican
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,british
12741,mexican
7050,vietnamese
22437,vietnamese
14760,cajun_creole
10649,jamaican
48065,vietnamese
39931,filipino
32935,cajun_creole
40142,vietnamese
19103,indian
38267,korean
30512,italian
3324,chinese
26197,irish
384,thai
47230,chinese
39748,cajun_creole
41038,british
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,cajun_creole
47234,korean
24075,thai
46323,cajun_creole
22562,italian
11358,irish
9201,indian
38620,vietnamese
47638,filipino
21238,indian
11053,korean
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,korean
48178,spanish
45832,italian
27560,korean
23247,british
28975,irish
43230,greek
9126,italian
13021,cajun_creole
28194,vietnamese
25617,vietnamese
36125,italian
16454,mexican
1607,filipino
38526,japanese
18755,vietnamese
12035,british
16047,greek
15419,italian
16971,indian
31459,russian
27888,irish
13900,moroccan
12376,thai
1658,korean
29431,russian
22290,cajun_creole
28464,italian
37953,korean
20814,korean
35987,mexican
2329,italian
43237,filipino
30647,british
16675,italian
37722,moroccan
32438,korean
20287,thai
43296,moroccan
6237,vietnamese
48560,korean
20810,mexican
34951,british
31850,filipino
47745,vietnamese
37815,vietnamese
9872,greek
5592,french
27411,vietnamese
39320,irish
40247,british
19792,mexican
40754,british
14365,mexican
14468,british
47563,mexican
19611,italian
7163,british
43069,korean
27505,korean
36500,thai
25932,irish
817,italian
8471,british
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,cajun_creole
5892,italian
676,korean
47015,korean
21891,cajun_creole
14630,italian
36195,vietnamese
25981,mexican
39964,french
28298,indian
31954,irish
26620,irish
14932,british
47426,irish
1038,irish
8077,british
37141,irish
45447,russian
9624,mexican
45589,korean
7265,greek
31844,korean
13046,british
9867,italian
29184,moroccan
34783,greek
2823,thai
18932,mexican
11112,mexican
12859,thai
9365,greek
44516,korean
18193,vietnamese
46545,italian
9900,italian
14815,vietnamese
39690,italian
22193,irish
11739,british
27311,korean
36920,indian
7861,korean
29248,moroccan
43142,mexican
7574,mexican
8610,mexican
989,greek
46926,cajun_creole
40816,vietnamese
39726,korean
42229,british
10474,italian
22140,mexican
31985,indian
46165,korean
20860,italian
42494,italian
15968,russian
20484,vietnamese
26661,vietnamese
47182,mexican
22528,british
3861,thai
1203,moroccan
45040,moroccan
33287,indian
10097,british
42005,korean
12423,spanish
39613,filipino
30276,irish
18686,filipino
3031,british
40093,greek
182,moroccan
46591,moroccan
4092,chinese
13722,irish
44575,french
14989,greek
13270,british
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,vietnamese
27935,italian
28198,mexican
37765,indian
33856,vietnamese
30198,vietnamese
42521,british
21567,irish
36995,russian
24967,vietnamese
45002,british
48925,mexican
36914,filipino
2280,irish
14729,korean
4594,brazilian
2237,moroccan
45631,moroccan
2317,chinese
23079,filipino
29333,korean
48066,filipino
15737,british
30580,cajun_creole
1119,british
46336,moroccan
5026,mexican
10749,indian
31020,mexican
30805,british
27653,korean
35060,mexican
39174,vietnamese
49509,greek
31784,british
31408,french
36029,moroccan
11045,irish
6561,russian
26992,british
31179,irish
35099,mexican
11018,korean
17930,mexican
21302,greek
46352,vietnamese
25132,korean
7010,indian
25850,irish
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,greek
34977,irish
7124,british
27514,british
27178,mexican
47880,korean
29197,russian
16347,irish
20333,vietnamese
29112,korean
7510,russian
13897,moroccan
35699,moroccan
20520,mexican
38920,vietnamese
21775,indian
37475,korean
40131,cajun_creole
1939,mexican
48268,spanish
34815,russian
13797,cajun_creole
39063,chinese
29064,thai
26896,moroccan
29477,british
3352,irish
4966,mexican
7316,irish
23879,mexican
16525,spanish
32843,irish
39574,british
32737,spanish
44788,filipino
28772,italian
34189,vietnamese
33719,irish
25846,indian
1423,indian
4328,vietnamese
579,cajun_creole
5219,indian
2314,irish
31143,moroccan
13409,korean
3281,greek
15804,vietnamese
40835,brazilian
39262,korean
37013,jamaican
14807,vietnamese
47956,cajun_creole
2580,mexican
13720,southern_us
23008,korean
5951,irish
39312,russian
6176,british
17617,vietnamese
57,mexican
43422,indian
49403,korean
44751,british
21865,mexican
26584,cajun_creole
39355,korean
14038,irish
45396,russian
49715,mexican
41515,thai
30445,moroccan
4090,brazilian
17207,thai
40376,british
19398,mexican
22347,vietnamese
49671,mexican
40854,russian
926,korean
47919,mexican
20571,italian
18866,british
48742,spanish
14577,moroccan
29481,italian
40996,cajun_creole
34470,moroccan
31147,mexican
35932,mexican
27221,italian
48301,greek
29925,korean
48640,thai
22873,irish
10565,brazilian
15509,irish
37569,british
13306,korean
40474,italian
15182,british
8609,korean
32168,korean
1125,vietnamese
25244,italian
46889,vietnamese
13841,filipino
47135,moroccan
29036,indian
43533,korean
41631,british
22124,cajun_creole
18836,cajun_creole
